"Unique ID","Email","Date Taken (Europe/Zurich)","Time Taken (Europe/Zurich)","Browser","OS","City","Country","Referrer","Time Spent","Q1 - Choose a nickname","Q2 - Challenge 1: Dealing with Missing Data","Q3 - Challenge 2: Exploring Relationships","Q4 - Challenge 3: Identifying Coffee Connoisseurs","Q5 - Challenge 4: Segmenting Coffee Drinkers","Q6 - Challenge 5: Analyzing Brewing Method Preferences","Q7 - Challenge 6: Communicating Your Findings"
"67051369253d9ebe7e049c05","anonymous","10/08/2024","13:11","Chrome","Android","Zug","Switzerland","","0:00:41","Ricardo","A: Remove whole rows.","C: Smoothed line graph.","B: Create a 'connoisseur score'.","A: K-means clustering.","A: Compare brewing methods.","B: Create an infographic."
"670513ed253d9ebe7e04a6a5","anonymous","10/08/2024","13:13","Chrome","Android","Zug","Switzerland","","0:02:18","Sarah","C: Impute using a prediction model.","B: Box plot.","A: Self-reported expertise.","B: Hierarchical clustering.","B: Compare regions.","B: Create an infographic."
"6705150f253d9ebe7e04bc72","anonymous","10/08/2024","13:18","Chrome","Windows","","Switzerland","","0:03:55","Ozzy","C: Impute using a prediction model.","A: Scatter plot.","C: Base it on expenditure.","B: Hierarchical clustering.","A: Compare brewing methods.","B: Create an infographic."
"67051575253d9ebe7e04c4b6","anonymous","10/08/2024","13:20","Chrome","Windows","","Switzerland","","0:00:48","Quest1","C: Impute using a prediction model.","B: Box plot.","C: Base it on expenditure.","B: Hierarchical clustering.","A: Compare brewing methods.","B: Create an infographic."
"670515c9253d9ebe7e04cbbe","anonymous","10/08/2024","13:21","Chrome","Windows","","Switzerland","","0:01:41","Anne","A: Remove whole rows.","A: Scatter plot.","B: Create a 'connoisseur score'.","B: Hierarchical clustering.","A: Compare brewing methods.","A: Write a concise summary."
"670515d0253d9ebe7e04cc4a","anonymous","10/08/2024","13:21","Chrome","Windows","","Switzerland","","0:02:11","Tristan","C: Impute using a prediction model.","C: Smoothed line graph.","B: Create a 'connoisseur score'.","B: Hierarchical clustering.","B: Compare regions.","C: Craft a blog post."
"67051e41253d9ebe7e05af34","anonymous","10/08/2024","13:57","Chrome","Android","Zug","Switzerland","","0:00:40","Ricardo 2","C: Impute using a prediction model.","B: Box plot.","A: Self-reported expertise.","B: Hierarchical clustering.","B: Compare regions.","A: Write a concise summary."
"67053609253d9ebe7e096a11","anonymous","10/08/2024","15:39","Chrome","Android","Jenbach","Austria","","0:10:29","Lola","C: Impute using a prediction model.","C: Smoothed line graph.","B: Create a 'connoisseur score'.","B: Hierarchical clustering.","A: Compare brewing methods.","C: Craft a blog post."
"670536a6253d9ebe7e098b4b","anonymous","10/08/2024","15:41","Chrome","Windows","","Switzerland","","0:01:53","Sarah3","","","","A: K-means clustering.","",""
"6705396b253d9ebe7e09f202","anonymous","10/08/2024","15:53","Chrome","Android","Zug","Switzerland","","0:01:23","Ricardo 4","C: Impute using a prediction model.","B: Box plot.","A: Self-reported expertise.","B: Hierarchical clustering.","A: Compare brewing methods.","B: Create an infographic."
"6705404a253d9ebe7e0afdc2","anonymous","10/08/2024","16:23","Mobile Safari","iOS","Zürich","Switzerland","","0:10:50","Coffeeholic","C: Impute using a prediction model.","A: Scatter plot.","C: Base it on expenditure.","A: K-means clustering.","C: Make a map.","B: Create an infographic."
"6705452d253d9ebe7e0bb9fb","anonymous","10/08/2024","16:43","Chrome","Windows","","Switzerland","","0:00:35","test2","C: Impute using a prediction model.","C: Smoothed line graph.","B: Create a 'connoisseur score'.","A: K-means clustering.","C: Make a map.","C: Craft a blog post."
